yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-4,Miller,0,0,MCI(A) 0-4,West Brom,43133,Ishmael,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Forward,0,0
0,-54,Moreira,0,0,QPR(A) 0-3,Swansea,48833,Jose,0,0,0,33,0,0,0,11 April 20:00,0,0,39,0,Goalkeeper,0,0
0,-7,Gamst Pedersen,2,0,BOL(H) 1-2,Blackburn,6317,Morten Gamst,0,90,12,17,0,0,0,20 Dec. 20:00,0,0,62,2,Midfielder,0,0
0,1083,Gamst Pedersen,0,0,SUN(H) 2-0,Blackburn,6329,Morten Gamst,0,90,24,29,2,1,1,20 March 20:00,0,0,62,8,Midfielder,0,0
0,-355,Dunn,0,0,EVE(H) 0-1,Blackburn,643,David,0,33,2,3,0,0,0,27 Aug. 15:00,0,0,65,1,Midfielder,0,0
1,8,Dunn,2,0,BOL(H) 1-2,Blackburn,6417,David,0,90,-2,17,0,0,0,20 Dec. 20:00,0,0,62,1,Midfielder,0,0
0,6,Dunn,0,0,SUN(H) 2-0,Blackburn,6429,David,0,0,0,29,0,0,0,20 March 20:00,0,0,62,0,Midfielder,0,0
1,399,Hoilett,1,0,EVE(H) 0-1,Blackburn,653,David,0,90,-4,3,0,0,0,27 Aug. 15:00,0,1,60,-1,Forward,0,0
0,-1804,Hoilett,2,0,BOL(H) 1-2,Blackburn,6517,David,0,90,-1,17,0,0,1,20 Dec. 20:00,0,0,56,5,Forward,0,0
0,8273,Hoilett,0,0,SUN(H) 2-0,Blackburn,6529,David,0,90,22,29,1,1,0,20 March 20:00,0,0,55,7,Forward,0,1
0,-239,Kalinic,0,0,EVE(H) 0-1,Blackburn,663,Nikola,0,0,0,3,0,0,0,27 Aug. 15:00,0,0,55,0,Forward,0,0
0,-7,Kalinic,0,0,BOL(H) 1-2,Blackburn,6617,Nikola,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,55,0,Forward,0,0
0,-1,Kalinic,0,0,SUN(H) 2-0,Blackburn,6629,Nikola,0,0,0,29,0,0,0,20 March 20:00,0,0,55,0,Forward,0,0
0,-960,Roberts,0,0,EVE(H) 0-1,Blackburn,673,Jason,0,71,7,3,0,1,0,27 Aug. 15:00,0,0,60,2,Forward,0,0
0,-29,Roberts,0,0,BOL(H) 1-2,Blackburn,6717,Jason,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,54,0,Forward,0,0
0,-6,Roberts,0,0,SUN(H) 2-0,Blackburn,6729,Jason,0,0,0,29,0,0,0,20 March 20:00,0,0,53,0,Forward,0,0
0,-112,Rochina,0,0,EVE(H) 0-1,Blackburn,683,Ruben,0,0,0,3,0,0,0,27 Aug. 15:00,0,0,50,0,Forward,0,0
0,-186,Rochina,0,0,BOL(H) 1-2,Blackburn,6817,Ruben,0,26,-8,17,0,0,0,20 Dec. 20:00,0,0,49,1,Forward,0,0
0,-68,Rochina,0,0,SUN(H) 2-0,Blackburn,6829,Ruben,0,0,0,29,0,0,0,20 March 20:00,0,0,47,0,Forward,0,0
0,-2704,Jaaskelainen,3,3,LIV(A) 1-3,Bolton,693,Jussi,0,90,7,3,0,0,0,27 Aug. 17:30,0,0,50,2,Goalkeeper,0,0
0,-660,Jaaskelainen,1,1,BLA(A) 2-1,Bolton,6917,Jussi,0,90,16,17,0,0,0,20 Dec. 20:00,0,0,48,2,Goalkeeper,0,0
