X	Y
-6890.91	2242.06
-5632.62	2838.55
-5096.27	2947.10
-7369.09	2424.18
-4303.32	5701.62
-5216.07	2805.86
-7036.07	2433.68
-10357.5	4229.90
-5785.13	2920.73
-5704.14	2459.86
-5709.93	2658.69
-5830.85	2331.90
-5142.33	2719.89
-5664.12	2312.69
-4821.50	3061.67
-6753.60	2091.31
-8223.61	2444.14
-5293.59	2714.79
-4752.28	3095.56
-6298.38	2104.00
-5885.55	2924.21
-5796.36	3012.19
-6502.02	2078.80
-5341.75	3053.49
-8463.32	3369.09
-8448.44	2616.77
-7496.88	3163.43
-6141.59	2100.22
-5245.63	2908.83
-5997.68	2316.13
-6963.69	3234.25
-6149.07	2797.28
-8029.09	3013.51
-4909.96	2926.78
-5972.88	2555.87
-6906.17	3448.55
-5551.32	2980.19
-5013.47	2960.81
-5058.17	2844.46
-4907.10	2907.78
-5450.17	2963.26
-5517.35	3001.69
-5058.67	3073.09
-7775.60	3178.67
-7878.31	3531.75
-4913.12	2927.93
-5622.91	2819.03
-8275.34	2706.05
-6332.20	2902.59
-5057.96	2818.45
-6097.23	2771.87
-5522.89	2264.71
-5640.47	2649.80
-5585.92	2434.03
-4361.40	3198.44
-5894.53	2421.50
-7242.59	2842.60
-6056.24	2891.65
-6498.95	4058.49
-5835.61	2705.92
-5644.81	2867.43
-7242.67	2683.25
-6379.87	2691.39
-5599.17	2349.29
-5872.29	2242.90
-5734.86	2761.14
-4942.97	2985.49
-6729.65	1920.88
-6688.46	2265.19
-9613.13	4425.10
-5817.28	2747.17
-5598.34	2018.32
-6146.39	2752.79
-7253.95	2745.80
-6467.97	2874.42
-5738.11	2924.92
-6910.72	2608.55
-6264.52	2936.60
-6364.15	3232.53
-5451.57	2487.02
-6322.14	3096.27
-7843.78	3701.63
-5127.67	2809.70
-7357.75	2194.38
-6762.95	2514.78
-5533.55	2910.94
-8504.68	3043.82
-8579.09	2819.26
-6049.73	2623.89
-10206.6	4480.01
-4916.54	2881.39
-6687.73	3239.01
-7714.57	2432.03
-5782.44	2971.98
-6522.52	2445.01
-5882.04	2841.94
-6724.43	2261.17
-4597.05	3169.38
-8275.68	2539.11
-5942.69	2350.23
-5688.30	2048.78
-7513.60	2454.83
-6550.10	2024.58
-6035.26	2873.92
-7500.33	2699.15
-5919.29	2968.58
-7690.35	3282.06
-6081.78	3076.08
-5513.30	2492.45
-5693.08	2408.16
-5546.08	3009.12
-6155.92	2098.24
-4388.17	3101.07
-5842.83	2722.33
-5522.91	2982.99
-5312.40	2782.73
-5022.26	2885.68
-7741.15	3219.36
-10769.1	1363.24
-10907.3	1472.22
-6589.17	2056.50
-5982.72	2399.71
-5953.15	2747.82
-6324.33	2878.60
-5831.77	2919.00
-6231.37	2231.69
-5642.06	2095.81
-5118.47	2814.13
-5273.15	2783.06
-6530.44	2562.36
-9287.82	4028.41
-5913.71	2922.17
-6538.33	2702.62
-6534.95	2701.62
-6068.06	2942.42
-5650.84	1696.66
-5292.52	3055.77
-5554.22	3002.82
-5798.57	2484.72
-6002.71	2792.62
-5272.40	2766.44
-5842.42	2952.63
-6875.52	1900.55
-7955.43	2499.54
-4917.10	2950.86
-7793.97	3429.24
-5837.05	2624.85
-11011.9	1518.80
-5811.31	2815.13
-6679.25	2819.10
-6376.80	2400.82
-5612.35	2968.25
-8170.06	2352.86
-5925.61	2643.20
-4927.67	2945.78
-7037.72	2320.08
-5778.64	2269.14
-6177.23	2976.16
-4937.25	2970.81
-6520.37	2248.70
-7650.33	3456.09
-6221.99	2428.67
-5030.68	2870.10
-5541.05	1780.86
-6073.95	2973.80
-6444.11	3107.92
-6999.10	3332.66
-6083.39	2120.83
-4469.28	3186.15
-5962.96	2236.40
-5014.68	3058.17
-5108.32	3156.64
-7293.60	3477.58
-5899.83	2777.19
-5996.43	2498.90
-6315.55	2180.68
-5125.02	2814.65
-5028.78	2878.60
-5039.05	2854.21
-6223.79	2069.72
-5113.52	2813.17
-5463.16	2979.17
-11428.9	4456.75
-5271.00	2545.94
-5490.80	3208.34
-8448.31	2612.12
-7736.85	2848.33
-6737.94	2450.65
-6628.87	2850.79
-5622.97	1971.86
-5252.81	3131.36
-6121.88	2562.30
-8163.21	2359.46
-5124.98	2827.16
-6026.31	2101.97
-6190.20	2811.75
-5414.57	3056.10
-5193.52	2760.53
-7743.78	2311.13
-6933.79	3065.66
-5527.38	2794.27
-5060.97	2933.11
-7769.44	2962.23
-6490.06	2065.86
-4854.37	3016.81
-8476.31	3145.48
-4889.42	2976.07
-5271.90	2545.16
-9013.16	3750.93
-4934.35	2889.85
-7715.07	2779.99
-7228.00	2643.22
-4932.84	3371.41
-6065.41	2952.19
-5433.61	2471.69
-7132.78	3045.78
-5246.24	2787.01
-7231.96	3484.63
-8278.54	2731.33
-5352.19	2594.79
-5523.62	2575.25
-6389.26	3041.71
-5362.92	2981.80
-6156.00	2920.75
-8394.66	2665.83
-5800.64	3000.10
-5470.42	2984.36
-6506.20	3148.06
-4552.73	3131.15
-3644.93	3290.24
-6553.47	2747.84
-6232.28	2668.97
-6432.33	3105.47
-5712.79	1918.83
-8501.11	3105.35
-6744.50	2683.69
-7731.13	2816.40
-6805.46	2033.06
-8104.15	2356.74
-8095.00	2260.48
-8458.58	2610.09
-8422.34	2579.99
-4567.65	1276.08
-8270.56	2378.33
-8431.72	2554.75
-7319.80	2465.81
-5702.52	1888.81
-7372.49	3604.78
-5839.24	3211.91
-5603.66	2216.82
-5108.93	2958.27
-8452.53	3289.40
-6060.69	3022.99
-4953.51	3139.57
-7390.17	3095.29
-6477.72	2247.34
-6660.82	2936.57
-6681.55	3009.12
-5959.50	2880.14
-5661.16	2414.86
-8113.56	3293.02
-6193.98	2750.12
-5015.67	2909.02
-6446.49	2571.41
-5790.83	2758.59
-5081.43	2836.61
-5571.47	2789.37
-8380.59	2622.72
-5582.85	3221.59
-6363.98	3228.21
-4149.04	3189.55
-5261.48	2974.43
-8460.28	3264.98
-5823.44	2103.14
-5697.53	1931.03
-6039.92	2726.98
-6498.27	2309.52
-6171.89	3342.29
-5622.77	3355.96
-5773.31	2878.79
-6610.92	2698.07
-5485.93	3014.47
-5164.44	2778.82
-5021.83	3202.78
-5091.81	2952.34
-7664.49	2226.38
-6632.67	2498.08
-6094.74	2771.47
-5198.28	2978.08
-8511.34	3399.16
-8528.19	3361.29
-6712.39	2179.91
-8176.92	3182.87
-5322.90	2687.48
-6380.49	2936.07
-5531.36	1845.89
-5577.48	2768.24
-9332.64	4194.80
-5096.73	2835.26
-6725.58	2604.37
-5243.09	2849.91
-5219.97	2746.26
-5385.66	2364.84
-5732.06	2921.00
-6719.09	3448.62
-5544.54	2494.33
-4961.26	2920.16
-8326.35	3220.01
-7907.33	4315.91
-5572.55	2839.81
-7919.99	2261.17
-5666.77	2759.70
